timestamp,seq,solenoids,P_0,P_1,P_2,P_3
14804633,90,0000000000000000,2642,2636,2638,2637
15372633,100,0000000000000000,2643,2637,2638,2637
15940635,110,0000000000000000,2642,2637,2639,2638
16522220,120,0000000000000000,2642,2636,2638,2638
17090633,130,0000000000000000,2642,2636,2639,2636
17658633,140,0000000000000000,2642,2638,2639,2639
18226633,150,0000000000000000,2643,2636,2640,2638
18794633,160,0000000000000000,2642,2636,2639,2638
19362633,170,0000000000000000,2643,2637,2641,2638
19930633,180,0000000000000000,2642,2636,2639,2638
20498633,190,0000000000000000,2642,2635,2638,2637
21066633,200,0000000000000000,2641,2636,2638,2638
21634633,210,0000000000000000,2642,2636,2639,2637
22202633,220,0000000000000000,2641,2636,2639,2638
23346633,240,0000000000000000,2642,2636,2640,2638
25618633,280,0000000000000000,2642,2636,2639,2639
26754633,300,0000000000000000,2643,2636,2640,2638
27322633,310,0000000000000000,2642,2637,2639,2638
27890633,320,0000000000000000,2642,2636,2639,2638
29034362,340,0000000000000000,2641,2635,2638,2636
29602633,350,0000000000000000,2641,2636,2638,2637
30170633,360,0000000000000000,2642,2636,2639,2638
