timestamp,seq,solenoids,P_0,P_1,P_2,P_3
781000000,7810,0000000000000000,2408,2407,2888,2886
782000000,7820,0000000000000000,2408,2407,2887,2888
783000000,7830,0000000000000000,2408,2407,2887,2885
784000000,7840,0000000000000000,2410,2408,2887,2886
785000000,7850,0000000000000000,2409,2407,2887,2885
786000000,7860,0000000000000000,2408,2407,2886,2886
787000000,7870,0000000000000000,2410,2410,2886,2888
788000000,7880,0000000000000000,2407,2409,2886,2886
789000000,7890,0000000000000000,2409,2408,2886,2886
790000000,7900,0000000000000000,2408,2406,2885,2886
791000000,7910,0000000000000000,2408,2407,2888,2889
792000000,7920,0000000000000000,2408,2407,2885,2886
793000000,7930,0000000000000000,2410,2408,2886,2885
794000000,7940,0000000000000000,2409,2408,2885,2886
795000000,7950,0000000000000000,2409,2409,2886,2886
796000000,7960,0000000000000000,2408,2408,2886,2886
797000000,7970,0000000000000000,2407,2407,2885,2885
798000000,7980,0000000000000000,2409,2408,2887,2887
799000000,7990,0000000000000000,2408,2408,2884,2886
800000000,8000,0000000000000000,2409,2408,2886,2886
801000000,8010,0000000000000000,2408,2407,2885,2886
802000000,8020,0000000000000000,2408,2408,2886,2886
803000000,8030,0000000000000000,2409,2407,2887,2887
804000000,8040,0000000000000000,2410,2408,2887,2886
805000000,8050,0000000000000000,2409,2407,2886,2887
806000000,8060,0000000000000000,2408,2408,2887,2887
807000000,8070,0000000000000000,2407,2407,2887,2886
808000000,8080,0000000000000000,2408,2407,2886,2885
809000000,8090,0000000000000000,2408,2408,2886,2886
810000000,8100,0000000000000000,2408,2408,2886,2886
811000000,8110,0000000000000000,2409,2407,2885,2888
812000000,8120,0000000000000000,2410,2407,2888,2886
813000000,8130,0000000000000000,2409,2407,2885,2887
814000000,8140,0000000000000000,2407,2408,2885,2885
815000000,8150,0000000000000000,2407,2409,2885,2888
816000000,8160,0000000000000000,2410,2409,2886,2887
817000000,8170,0000000000000000,2408,2407,2886,2886
818000000,8180,0000000000000000,2411,2407,2886,2886
819000000,8190,0000000000000000,2408,2407,2886,2885
820000000,8200,0000000000000000,2407,2407,2887,2886
821000000,8210,0000000000000000,2410,2407,2888,2888
822000000,8220,0000000000000000,2409,2407,2885,2886
823000000,8230,0000000000000000,2409,2407,2887,2886
824000000,8240,0000000000000000,2409,2407,2886,2886
825000000,8250,0000000000000000,2407,2406,2885,2886
826000000,8260,0000000000000000,2408,2408,2886,2885
827000000,8270,0000000000000000,2409,2407,2887,2887
828000000,8280,0000000000000000,2409,2407,2886,2887
829000000,8290,0000000000000000,2408,2408,2885,2885
830000000,8300,0000000000000000,2410,2406,2885,2885
831000000,8310,0000000000000000,2409,2408,2885,2886
832000000,8320,0000000000000000,2409,2408,2885,2886
833000000,8330,0000000000000000,2409,2407,2886,2886
834000000,8340,0000000000000000,2408,2407,2885,2886
835000000,8350,0000000000000000,2408,2407,2887,2885
836000000,8360,0000000000000000,2409,2407,2885,2886
837000000,8370,0000000000000000,2408,2407,2886,2887
838000000,8380,0000000000000000,2409,2407,2884,2885
839000000,8390,0000000000000000,2409,2407,2885,2886
840000000,8400,0000000000000000,2410,2407,2886,2886
842000000,8420,0000000000000000,2409,2408,2887,2886
843000000,8430,0000000000000000,2410,2408,2885,2885
844000000,8440,0000000000000000,2409,2407,2884,2886
845000000,8450,0000000000000000,2410,2407,2885,2886
846000000,8460,0000000000000000,2408,2408,2886,2887
847000000,8470,0000000000000000,2409,2406,2886,2885
848000000,8480,0000000000000000,2409,2407,2886,2886
849000000,8490,0000000000000000,2409,2407,2885,2886
850000000,8500,0000000000000000,2408,2406,2887,2884
851000000,8510,0000000000000000,2409,2407,2887,2885
852000000,8520,0000000000000000,2409,2407,2886,2886
853000000,8530,0000000000000000,2409,2408,2886,2886
854000000,8540,0000000000000000,2408,2408,2886,2887
855000000,8550,0000000000000000,2410,2408,2875,2881
857000000,8570,0000000000000000,2410,2407,2888,2889
858000000,8580,0000000000000000,2408,2408,2891,2890
859000000,8590,0000000000000000,2408,2407,2890,2891
860000000,8600,0000000000000000,2409,2408,2891,2889
861000000,8610,0000000000000000,2409,2408,2890,2889
862000000,8620,0000000000000000,2408,2408,2889,2889
863000000,8630,0000000000000000,2408,2407,2890,2890
864000000,8640,0000000000000000,2410,2408,2891,2891
865000000,8650,0000000000000000,2409,2407,2890,2890
866000000,8660,0000000000000000,2410,2407,2890,2891
867000000,8670,0000000000000000,2407,2407,2889,2889
868000000,8680,0000000000000000,2409,2408,2889,2889
870000000,8700,0000000000000000,2408,2407,2873,2881
872000000,8720,0000000000000000,2409,2408,2889,2889
873000000,8730,0000000000000000,2408,2409,2890,2888
874000000,8740,0000000000000000,2407,2407,2888,2889
875000000,8750,0000000000000000,2409,2407,2890,2890
876000000,8760,0000000000000000,2408,2408,2890,2890
877000000,8770,0000000000000000,2409,2408,2890,2891
878000000,8780,0000000000000000,2409,2407,2889,2890
879000000,8790,0000000000000000,2409,2408,2888,2889
880000000,8800,0000000000000000,2408,2407,2891,2890
881000000,8810,0000000000000000,2410,2407,2890,2890
