timestamp,seq,solenoids,P_0,P_1,P_2,P_3
369623685,6330,0000000000000000,2643,2636,2638,2637
370191633,6340,0000000000000000,2643,2637,2639,2639
370759633,6350,0000000000000000,2643,2636,2640,2637
371895632,6370,0000000000000000,2642,2636,2638,2637
372463632,6380,0000000000000000,2642,2636,2640,2639
373031634,6390,0000000000000000,2643,2637,2639,2639
373599633,6400,0000000000000000,2642,2636,2638,2636
374167635,6410,0000000000000000,2643,2636,2638,2637
374735632,6420,0000000000000000,2642,2635,2638,2638
375871634,6440,0000000000000000,2642,2637,2639,2638
376445754,6450,0000000000000000,2643,2637,2639,2638
378149635,6480,0000000000000000,2641,2635,2638,2638
379285632,6500,0000000000000000,2642,2636,2638,2637
379853632,6510,0000000000000000,2641,2635,2638,2637
380421635,6520,0000000000000000,2642,2636,2638,2638
381557634,6540,0000000000000000,2641,2635,2638,2638
382125635,6550,0000000000000000,2642,2635,2638,2638
382697741,6560,0000000000000000,2642,2634,2637,2637
383265632,6570,0000000000000000,2642,2637,2639,2638
383833634,6580,0000000000000000,2642,2636,2638,2637
384401635,6590,0000000000000000,2642,2637,2637,2637
387241633,6640,0000000000000000,2641,2634,2638,2637
391789633,6720,0000000000000000,2642,2636,2637,2637
395769633,6790,0000000000000000,2640,2636,2639,2638
396337633,6800,0000000000000000,2642,2635,2639,2638
396905633,6810,0000000000000000,2642,2636,2638,2637
397473633,6820,0000000000000000,2641,2636,2637,2638
398041633,6830,0000000000000000,2642,2634,2638,2638
399177633,6850,0000000000000000,2641,2635,2639,2638
399745633,6860,0000000000000000,2642,2635,2639,2637
400313632,6870,0000000000000000,2642,2634,2637,2637
400881633,6880,0000000000000000,2642,2636,2638,2637
402024288,6900,0000000000000000,2641,2635,2638,2637
402592635,6910,0000000000000000,2641,2635,2639,2638
403160633,6920,0000000000000000,2642,2636,2639,2637
403728632,6930,0000000000000000,2641,2635,2638,2639
405432635,6960,0000000000000000,2642,2636,2639,2638
406000634,6970,0000000000000000,2641,2636,2638,2638
416232633,7150,0000000000000000,2641,2634,2637,2637
417936632,7180,0000000000000000,2642,2636,2639,2638
419072632,7200,0000000000000000,2642,2635,2638,2638
424188633,7290,0000000000000000,2642,2635,2638,2639
426460633,7330,0000000000000000,2642,2636,2639,2637
427601789,7350,0000000000000000,2642,2635,2637,2638
429873633,7390,0000000000000000,2642,2635,2638,2638
430441632,7400,0000000000000000,2641,2635,2637,2637
431009634,7410,0000000000000000,2641,2635,2638,2638
433281635,7450,0000000000000000,2642,2635,2638,2638
433853725,7460,0000000000000000,2642,2635,2639,2638
434421634,7470,0000000000000000,2642,2635,2637,2637
434989632,7480,0000000000000000,2641,2636,2637,2638
435557635,7490,0000000000000000,2642,2635,2637,2638
436125632,7500,0000000000000000,2642,2635,2638,2637
436693632,7510,0000000000000000,2642,2635,2637,2638
437261635,7520,0000000000000000,2642,2636,2638,2636
437829634,7530,0000000000000000,2642,2636,2639,2638
438397635,7540,0000000000000000,2641,2636,2638,2638
438965632,7550,0000000000000000,2641,2635,2638,2638
439533635,7560,0000000000000000,2641,2634,2639,2638
440673812,7580,0000000000000000,2640,2636,2639,2638
441241635,7590,0000000000000000,2642,2635,2638,2638
