time_s,P1_high_psi,P2_high_psi,P3_high_psi,P4_high_psi
0.000000,-625.000,-625.000,-625.000,-625.000
1.000000,-625.000,-625.000,-625.000,-625.000
2.000000,-625.000,-625.000,-625.000,-625.000
3.000000,-625.000,-625.000,-625.000,-625.000
4.000000,-625.000,-625.000,-625.000,-625.000
5.000000,-625.000,-625.000,-625.000,-625.000
6.000000,-625.000,-625.000,-625.000,-625.000
7.000000,-625.000,-625.000,-625.000,-625.000
8.000000,-625.000,-625.000,-625.000,-625.000
9.000000,-625.000,-625.000,-625.000,-625.000
10.000000,-625.000,-625.000,-625.000,-625.000
11.000000,-625.000,-625.000,-625.000,-625.000
12.000000,-625.000,-625.000,-625.000,-625.000
13.000000,-625.000,-625.000,-625.000,-625.000
14.000000,-625.000,-625.000,-625.000,-625.000
15.000000,-625.000,-625.000,-625.000,-625.000
16.000000,-625.000,-625.000,-625.000,-625.000
17.000000,-625.000,-625.000,-625.000,-625.000
18.000000,-625.000,-625.000,-625.000,-625.000
19.000000,-625.000,-625.000,-625.000,-625.000
20.000000,-625.000,-625.000,-625.000,-625.000
