time_s,P1_high_psi,P2_high_psi,P3_high_psi,P4_high_psi
0.000000,-625.000,-625.000,-625.000,-59.905
0.699999,-625.000,-625.000,-625.000,-59.670
1.400000,-625.000,-625.000,-625.000,-59.670
2.100001,-625.000,-625.000,-625.000,-59.670
2.800000,-625.000,-625.000,-625.000,-59.670
3.500000,-625.000,-625.000,-625.000,-59.436
4.914138,-625.000,-625.000,-625.000,-59.670
5.914138,-625.000,-625.000,-625.000,-59.905
6.914138,-625.000,-625.000,-625.000,-59.670
7.914138,-625.000,-625.000,-625.000,-59.670
8.914138,-625.000,-625.000,-625.000,-60.139
9.914138,-625.000,-625.000,-625.000,-59.436
10.914138,-625.000,-625.000,-625.000,-59.905
11.914138,-625.000,-625.000,-625.000,-59.905
12.914138,-625.000,-625.000,-625.000,-59.905
13.914138,-625.000,-625.000,-625.000,-60.139
14.914138,-625.000,-625.000,-625.000,-59.670
15.914138,-625.000,-625.000,-625.000,-59.670
16.914138,-625.000,-625.000,-625.000,-59.905
17.914138,-625.000,-625.000,-625.000,-59.670
18.914138,-625.000,-625.000,-625.000,-59.670
19.914138,-625.000,-625.000,-625.000,-59.905
20.914138,-625.000,-625.000,-625.000,-59.905
21.914138,-625.000,-625.000,-625.000,-59.905
22.914138,-625.000,-625.000,-625.000,-59.670
23.914138,-625.000,-625.000,-625.000,-60.139
24.914138,-625.000,-625.000,-625.000,-59.905
25.914138,-625.000,-625.000,-625.000,-59.905
26.914138,-625.000,-625.000,-625.000,-59.905
27.914138,-625.000,-625.000,-625.000,-60.139
28.914138,-625.000,-625.000,-625.000,-60.139
29.914138,-625.000,-625.000,-625.000,-59.436
30.914138,-625.000,-625.000,-625.000,-60.139
31.914138,-625.000,-625.000,-625.000,-59.670
32.914138,-625.000,-625.000,-625.000,-59.670
33.914138,-625.000,-625.000,-625.000,-59.905
34.914138,-625.000,-625.000,-625.000,-60.139
35.914138,-625.000,-625.000,-625.000,-59.905
36.914138,-625.000,-625.000,-625.000,-59.670
37.914138,-625.000,-625.000,-625.000,-59.905
38.914138,-625.000,-625.000,-625.000,-60.139
39.914138,-625.000,-625.000,-625.000,-59.905
40.914138,-625.000,-625.000,-625.000,-59.670
41.914138,-625.000,-625.000,-625.000,-59.905
42.914138,-625.000,-625.000,-625.000,-59.905
43.914138,-625.000,-625.000,-625.000,-59.905
44.914138,-625.000,-625.000,-625.000,-59.670
45.914138,-625.000,-625.000,-625.000,-59.905
46.914138,-625.000,-625.000,-625.000,-59.905
47.914138,-625.000,-625.000,-625.000,-59.670
48.914138,-625.000,-625.000,-625.000,-59.905
49.914138,-625.000,-625.000,-625.000,-59.905
50.914138,-625.000,-625.000,-625.000,-59.905
51.914138,-625.000,-625.000,-625.000,-59.905
52.914138,-625.000,-625.000,-625.000,-59.670
53.914138,-625.000,-625.000,-625.000,-59.436
54.914138,-625.000,-625.000,-625.000,-59.905
55.914138,-625.000,-625.000,-625.000,-59.670
