timestamp,seq,solenoids,P_0,P_1,P_2,P_3
61000000,610,0000000000000000,2421,2422,2418,2420
62000000,620,0000000000000000,2421,2422,2417,2419
63000000,630,0000000000000000,2421,2421,2419,2419
64000000,640,0000000000000000,2422,2422,2418,2420
65000000,650,0000000000000000,2421,2421,2418,2420
66000000,660,0000000000000000,2421,2422,2418,2420
67000000,670,0000000000000000,2421,2422,2418,2419
68000000,680,0000000000000000,2421,2421,2418,2420
69000000,690,0000000000000000,2421,2421,2417,2419
70000000,700,0000000000000000,2421,2423,2417,2420
71000000,710,0000000000000000,2421,2421,2417,2419
72000000,720,0000000000000000,2422,2421,2417,2419
73000000,730,0000000000000000,2421,2422,2417,2420
74000000,740,0000000000000000,2421,2422,2417,2420
75000000,750,0000000000000000,2422,2421,2417,2419
76000000,760,0000000000000000,2420,2422,2417,2419
79000000,790,0000000000000000,2422,2421,2417,2419
82000000,820,0000000000000000,2421,2421,2418,2419
83000000,830,0000000000000000,2421,2422,2418,2419
84000000,840,0000000000000000,2422,2422,2419,2419
85000000,850,0000000000000000,2421,2422,2418,2420
86000000,860,0000000000000000,2421,2422,2418,2421
87000000,870,0000000000000000,2422,2422,2418,2419
88000000,880,0000000000000000,2421,2422,2418,2419
89000000,890,0000000000000000,2421,2421,2418,2419
90000000,900,0000000000000000,2421,2421,2418,2420
91000000,910,0000000000000000,2422,2422,2419,2419
92000000,920,0000000000000000,2421,2422,2417,2419
93000000,930,0000000000000000,2421,2422,2418,2420
94000000,940,0000000000000000,2421,2422,2418,2420
95000000,950,0000000000000000,2421,2421,2417,2420
96000000,960,0000000000000000,2422,2422,2418,2419
97000000,970,0000000000000000,2422,2422,2418,2420
98000000,980,0000000000000000,2421,2422,2418,2419
99000000,990,0000000000000000,2421,2422,2418,2419
102000000,1020,0000000000000000,2422,2421,2418,2420
103000000,1030,0000000000000000,2421,2421,2418,2420
104000000,1040,0000000000000000,2421,2422,2418,2420
105000000,1050,0000000000000000,2421,2422,2418,2420
106000000,1060,0000000000000000,2421,2421,2418,2419
107000000,1070,0000000000000000,2422,2422,2418,2420
108000000,1080,0000000000000000,2421,2422,2418,2420
109000000,1090,0000000000000000,2421,2421,2417,2420
110000000,1100,0000000000000000,2421,2422,2417,2419
111000000,1110,0000000000000000,2421,2422,2418,2419
112000000,1120,0000000000000000,2421,2422,2417,2420
113000000,1130,0000000000000000,2421,2421,2418,2419
114000000,1140,0000000000000000,2421,2421,2418,2419
115000000,1150,0000000000000000,2421,2422,2417,2420
116000000,1160,0000000000000000,2421,2422,2418,2419
117000000,1170,0000000000000000,2421,2422,2417,2419
118000000,1180,0000000000000000,2422,2422,2418,2419
119000000,1190,0000000000000000,2421,2422,2418,2419
120000000,1200,0000000000000000,2421,2421,2418,2420
121000000,1210,0000000000000000,2422,2423,2418,2419
122000000,1220,0000000000000000,2421,2421,2417,2419
