time_s,P1_high_psi,P2_high_psi,P3_high_psi,P4_high_psi
0.000000,-625.000,-625.000,-625.000,-59.670
0.215001,-625.000,-625.000,-625.000,-59.436
0.229974,-625.000,-625.000,-625.000,-59.436
0.244960,-625.000,-625.000,-625.000,-59.436
0.259945,-625.000,-625.000,-625.000,-59.905
0.274930,-625.000,-625.000,-625.000,-59.201
0.289915,-625.000,-625.000,-625.000,-59.905
0.304901,-625.000,-625.000,-625.000,-59.436
0.319887,-625.000,-625.000,-625.000,-59.670
0.334873,-625.000,-625.000,-625.000,-59.670
0.349859,-625.000,-625.000,-625.000,-59.201
0.565000,-625.000,-625.000,-625.000,-59.670
0.579974,-625.000,-625.000,-625.000,-59.905
0.594960,-625.000,-625.000,-625.000,-59.201
0.609946,-625.000,-625.000,-625.000,-59.905
0.624931,-625.000,-625.000,-625.000,-59.670
0.639917,-625.000,-625.000,-625.000,-59.436
0.654903,-625.000,-625.000,-625.000,-59.905
0.669889,-625.000,-625.000,-625.000,-59.670
0.684875,-625.000,-625.000,-625.000,-60.139
0.699861,-625.000,-625.000,-625.000,-59.905
0.915000,-625.000,-625.000,-625.000,-59.905
0.929974,-625.000,-625.000,-625.000,-59.436
0.944960,-625.000,-625.000,-625.000,-59.670
0.959946,-625.000,-625.000,-625.000,-59.436
0.974932,-625.000,-625.000,-625.000,-59.670
0.989918,-625.000,-625.000,-625.000,-59.670
1.004904,-625.000,-625.000,-625.000,-59.905
1.019890,-625.000,-625.000,-625.000,-59.905
1.034876,-625.000,-625.000,-625.000,-59.436
1.049862,-625.000,-625.000,-625.000,-59.905
1.265000,-625.000,-625.000,-625.000,-59.905
1.279974,-625.000,-625.000,-625.000,-59.905
1.294960,-625.000,-625.000,-625.000,-59.436
1.309945,-625.000,-625.000,-625.000,-59.670
1.324931,-625.000,-625.000,-625.000,-59.905
1.339917,-625.000,-625.000,-625.000,-59.436
1.354903,-625.000,-625.000,-625.000,-60.139
1.369889,-625.000,-625.000,-625.000,-59.670
1.384875,-625.000,-625.000,-625.000,-59.670
1.399861,-625.000,-625.000,-625.000,-59.905
1.615000,-625.000,-625.000,-625.000,-59.905
1.629974,-625.000,-625.000,-625.000,-59.436
1.644960,-625.000,-625.000,-625.000,-59.905
1.659946,-625.000,-625.000,-625.000,-59.670
1.674932,-625.000,-625.000,-625.000,-60.139
1.689918,-625.000,-625.000,-625.000,-59.670
1.704904,-625.000,-625.000,-625.000,-59.670
1.719890,-625.000,-625.000,-625.000,-59.436
1.734876,-625.000,-625.000,-625.000,-60.139
1.749862,-625.000,-625.000,-625.000,-59.201
1.965000,-625.000,-625.000,-625.000,-59.670
1.979973,-625.000,-625.000,-625.000,-59.670
1.994959,-625.000,-625.000,-625.000,-60.139
2.009945,-625.000,-625.000,-625.000,-59.436
2.024931,-625.000,-625.000,-625.000,-59.905
2.039917,-625.000,-625.000,-625.000,-59.905
2.054903,-625.000,-625.000,-625.000,-60.139
2.069888,-625.000,-625.000,-625.000,-59.670
2.084874,-625.000,-625.000,-625.000,-60.139
2.099860,-625.000,-625.000,-625.000,-59.670
2.315000,-625.000,-625.000,-625.000,-59.670
2.329974,-625.000,-625.000,-625.000,-60.139
2.344960,-625.000,-625.000,-625.000,-59.905
2.359946,-625.000,-625.000,-625.000,-59.905
2.374932,-625.000,-625.000,-625.000,-59.670
2.389918,-625.000,-625.000,-625.000,-59.670
2.404904,-625.000,-625.000,-625.000,-59.670
2.419890,-625.000,-625.000,-625.000,-59.905
2.434876,-625.000,-625.000,-625.000,-59.670
2.449862,-625.000,-625.000,-625.000,-59.670
2.665001,-625.000,-625.000,-625.000,-59.905
2.679974,-625.000,-625.000,-625.000,-59.670
2.694959,-625.000,-625.000,-625.000,-59.670
2.709945,-625.000,-625.000,-625.000,-59.905
2.724931,-625.000,-625.000,-625.000,-59.670
2.739917,-625.000,-625.000,-625.000,-59.905
2.754903,-625.000,-625.000,-625.000,-59.436
2.769889,-625.000,-625.000,-625.000,-59.905
2.784875,-625.000,-625.000,-625.000,-59.905
2.799861,-625.000,-625.000,-625.000,-59.670
3.015001,-625.000,-625.000,-625.000,-59.436
3.029974,-625.000,-625.000,-625.000,-59.905
3.044960,-625.000,-625.000,-625.000,-59.670
3.059945,-625.000,-625.000,-625.000,-59.905
3.074931,-625.000,-625.000,-625.000,-60.139
3.089917,-625.000,-625.000,-625.000,-59.436
3.104903,-625.000,-625.000,-625.000,-59.670
3.119889,-625.000,-625.000,-625.000,-59.670
3.134875,-625.000,-625.000,-625.000,-59.670
3.149861,-625.000,-625.000,-625.000,-59.905
3.365000,-625.000,-625.000,-625.000,-59.436
3.379974,-625.000,-625.000,-625.000,-59.905
3.394960,-625.000,-625.000,-625.000,-60.139
3.409946,-625.000,-625.000,-625.000,-59.670
3.424932,-625.000,-625.000,-625.000,-59.905
3.439918,-625.000,-625.000,-625.000,-59.670
3.454904,-625.000,-625.000,-625.000,-59.670
3.469890,-625.000,-625.000,-625.000,-60.139
3.484876,-625.000,-625.000,-625.000,-59.436
3.499862,-625.000,-625.000,-625.000,-59.670
3.715000,-625.000,-625.000,-625.000,-59.905
3.729974,-625.000,-625.000,-625.000,-59.436
3.744960,-625.000,-625.000,-625.000,-59.905
3.759946,-625.000,-625.000,-625.000,-59.905
3.774932,-625.000,-625.000,-625.000,-60.139
3.789918,-625.000,-625.000,-625.000,-59.905
3.804904,-625.000,-625.000,-625.000,-59.905
3.819890,-625.000,-625.000,-625.000,-59.905
3.834876,-625.000,-625.000,-625.000,-59.905
3.849862,-625.000,-625.000,-625.000,-59.905
4.065000,-625.000,-625.000,-625.000,-59.201
4.079974,-625.000,-625.000,-625.000,-59.905
4.094960,-625.000,-625.000,-625.000,-59.670
4.109945,-625.000,-625.000,-625.000,-59.436
4.124931,-625.000,-625.000,-625.000,-59.905
4.139917,-625.000,-625.000,-625.000,-59.905
4.154903,-625.000,-625.000,-625.000,-59.670
4.169889,-625.000,-625.000,-625.000,-60.139
4.184875,-625.000,-625.000,-625.000,-59.436
4.199861,-625.000,-625.000,-625.000,-59.670
4.415000,-625.000,-625.000,-625.000,-59.670
4.429974,-625.000,-625.000,-625.000,-59.670
4.444960,-625.000,-625.000,-625.000,-59.905
4.459946,-625.000,-625.000,-625.000,-59.436
4.474932,-625.000,-625.000,-625.000,-59.905
4.489917,-625.000,-625.000,-625.000,-60.139
4.504903,-625.000,-625.000,-625.000,-59.670
4.519889,-625.000,-625.000,-625.000,-59.905
4.534875,-625.000,-625.000,-625.000,-59.670
4.549861,-625.000,-625.000,-625.000,-59.670
4.765000,-625.000,-625.000,-625.000,-59.670
4.779974,-625.000,-625.000,-625.000,-60.139
4.794959,-625.000,-625.000,-625.000,-59.905
4.809945,-625.000,-625.000,-625.000,-59.905
4.824931,-625.000,-625.000,-625.000,-59.670
4.839917,-625.000,-625.000,-625.000,-59.670
4.854903,-625.000,-625.000,-625.000,-59.670
4.869889,-625.000,-625.000,-625.000,-59.905
4.884875,-625.000,-625.000,-625.000,-60.139
4.899861,-625.000,-625.000,-625.000,-59.436
5.115000,-625.000,-625.000,-625.000,-59.670
5.129974,-625.000,-625.000,-625.000,-59.905
5.144960,-625.000,-625.000,-625.000,-59.905
5.159946,-625.000,-625.000,-625.000,-59.436
5.174932,-625.000,-625.000,-625.000,-59.670
5.189917,-625.000,-625.000,-625.000,-59.905
5.204902,-625.000,-625.000,-625.000,-59.905
5.219888,-625.000,-625.000,-625.000,-59.201
5.234874,-625.000,-625.000,-625.000,-59.436
5.313999,-625.000,-625.000,-625.000,-59.670
5.530001,-625.000,-625.000,-625.000,-59.905
5.544974,-625.000,-625.000,-625.000,-60.139
5.613999,-625.000,-625.000,-625.000,-59.670
5.713999,-625.000,-625.000,-625.000,-59.905
5.813999,-625.000,-625.000,-625.000,-59.436
5.913999,-625.000,-625.000,-625.000,-60.139
6.013999,-625.000,-625.000,-625.000,-59.670
6.113999,-625.000,-625.000,-625.000,-59.436
6.213999,-625.000,-625.000,-625.000,-59.905
6.313999,-625.000,-625.000,-625.000,-59.670
6.530001,-625.000,-625.000,-625.000,-60.139
6.544974,-625.000,-625.000,-625.000,-59.670
6.613999,-625.000,-625.000,-625.000,-59.670
6.713999,-625.000,-625.000,-625.000,-59.670
6.813999,-625.000,-625.000,-625.000,-59.670
6.913999,-625.000,-625.000,-625.000,-59.905
7.013999,-625.000,-625.000,-625.000,-59.905
7.113999,-625.000,-625.000,-625.000,-59.670
7.213999,-625.000,-625.000,-625.000,-59.905
7.313999,-625.000,-625.000,-625.000,-59.905
7.530000,-625.000,-625.000,-625.000,-59.670
7.544974,-625.000,-625.000,-625.000,-60.139
7.613999,-625.000,-625.000,-625.000,-59.670
7.713999,-625.000,-625.000,-625.000,-59.670
7.813999,-625.000,-625.000,-625.000,-59.436
7.913999,-625.000,-625.000,-625.000,-59.670
8.013999,-625.000,-625.000,-625.000,-59.905
8.113999,-625.000,-625.000,-625.000,-59.670
8.213999,-625.000,-625.000,-625.000,-59.905
8.313999,-625.000,-625.000,-625.000,-59.670
8.530001,-625.000,-625.000,-625.000,-59.670
8.544974,-625.000,-625.000,-625.000,-59.670
8.613999,-625.000,-625.000,-625.000,-59.670
8.713999,-625.000,-625.000,-625.000,-59.670
8.813999,-625.000,-625.000,-625.000,-59.670
8.913999,-625.000,-625.000,-625.000,-59.905
9.013999,-625.000,-625.000,-625.000,-59.670
9.113999,-625.000,-625.000,-625.000,-59.670
9.213999,-625.000,-625.000,-625.000,-59.436
9.313999,-625.000,-625.000,-625.000,-59.670
9.530000,-625.000,-625.000,-625.000,-59.670
9.544974,-625.000,-625.000,-625.000,-59.905
9.613999,-625.000,-625.000,-625.000,-59.436
9.713999,-625.000,-625.000,-625.000,-59.436
9.813999,-625.000,-625.000,-625.000,-59.905
9.913999,-625.000,-625.000,-625.000,-59.670
10.013999,-625.000,-625.000,-625.000,-59.436
10.113999,-625.000,-625.000,-625.000,-59.436
10.213999,-625.000,-625.000,-625.000,-59.670
10.313999,-625.000,-625.000,-625.000,-60.139
10.530000,-625.000,-625.000,-625.000,-59.905
10.544974,-625.000,-625.000,-625.000,-59.905
10.613999,-625.000,-625.000,-625.000,-60.139
10.713999,-625.000,-625.000,-625.000,-59.905
10.813999,-625.000,-625.000,-625.000,-59.905
10.913999,-625.000,-625.000,-625.000,-59.905
11.013999,-625.000,-625.000,-625.000,-59.905
11.113999,-625.000,-625.000,-625.000,-59.905
11.213999,-625.000,-625.000,-625.000,-59.905
11.313999,-625.000,-625.000,-625.000,-59.436
11.530001,-625.000,-625.000,-625.000,-59.670
11.544974,-625.000,-625.000,-625.000,-59.670
11.613999,-625.000,-625.000,-625.000,-59.436
11.713999,-625.000,-625.000,-625.000,-59.670
11.813999,-625.000,-625.000,-625.000,-59.905
11.913999,-625.000,-625.000,-625.000,-59.905
12.013999,-625.000,-625.000,-625.000,-59.905
12.113999,-625.000,-625.000,-625.000,-59.905
12.213999,-625.000,-625.000,-625.000,-59.905
