time_s,P1_high_psi,P2_high_psi,P3_high_psi,P4_high_psi
0.000000,-6.465,-6.700,459.486,177.056
0.700000,-6.231,-6.700,459.486,176.821
1.197137,-6.700,-6.700,459.486,176.821
2.197137,-6.465,-6.700,459.486,176.587
3.197137,-6.700,-6.465,459.721,176.587
4.197137,-6.465,-6.700,459.721,176.587
5.197137,-6.700,-6.934,459.721,176.587
6.197137,-6.465,-6.934,459.721,176.587
8.197137,-6.465,-6.700,459.486,176.587
9.197137,-6.465,-6.700,459.721,176.587
10.197137,-6.465,-6.934,459.955,176.587
12.197137,-6.465,-6.934,459.486,176.587
13.197137,-6.700,-6.700,459.486,176.353
15.197137,-6.231,-6.465,459.486,176.587
16.197137,-6.700,-6.700,459.721,176.353
18.197137,-6.465,-6.465,460.189,176.587
19.197137,-6.934,-6.934,459.721,176.118
20.197137,-6.231,-6.465,459.955,176.118
21.197137,-6.465,-6.700,459.955,176.118
22.197137,-6.465,-6.934,459.252,176.587
23.197137,-6.700,-6.700,459.721,176.118
24.197137,-6.700,-6.700,459.721,175.884
25.197137,-6.700,-6.700,459.721,175.884
26.197137,-6.700,-6.934,459.252,176.353
27.197137,-6.231,-6.700,459.721,176.587
28.197137,-6.700,-6.700,459.955,176.118
29.197137,-6.700,-6.934,459.486,176.353
30.197137,-6.700,-6.465,459.486,176.353
31.197137,-6.700,-6.700,459.486,176.118
32.197137,-6.700,-6.700,458.783,176.353
33.197137,-5.997,-7.169,459.721,176.353
34.197137,-6.231,-6.700,459.955,176.118
35.197137,-6.700,-6.700,459.486,175.884
36.197137,-6.700,-6.934,459.721,176.353
37.197137,-6.465,-6.700,459.721,175.884
38.197137,-6.465,-6.700,459.721,175.649
39.197137,-6.934,-6.934,459.486,175.415
40.197137,-6.700,-6.934,459.486,176.353
41.197137,-5.997,101.819,459.486,175.649
42.197137,-6.700,94.319,459.721,175.649
43.197137,-6.465,87.756,459.486,175.649
44.197137,-6.934,82.131,459.721,175.884
45.197137,-6.700,77.209,459.486,175.649
46.197137,-6.465,72.990,459.721,175.884
47.197137,-6.465,69.474,459.486,175.884
48.197137,-6.700,66.193,459.252,175.649
49.197137,-6.465,63.146,459.486,175.649
50.197137,-6.700,60.802,459.721,175.649
51.197137,-6.934,58.458,459.721,175.415
52.197137,-6.231,56.115,459.721,175.415
53.197137,-6.700,54.708,459.721,175.649
54.197137,-6.934,52.364,459.486,175.415
55.197137,-6.465,50.724,459.721,175.649
56.197137,-6.700,49.317,459.486,175.649
57.197137,-6.934,47.208,459.486,175.649
58.197137,-6.700,45.802,459.486,175.181
59.197137,-6.465,44.395,459.721,175.884
60.197137,-6.700,42.755,459.486,175.415
61.197137,-6.700,41.583,459.955,175.181
62.197137,-6.934,40.177,459.486,175.415
63.197137,-6.700,39.005,459.721,175.415
64.197137,-6.700,37.833,459.486,175.181
65.197137,-6.465,36.895,459.486,175.181
66.197137,-6.700,47.677,459.721,175.181
67.197137,-6.465,46.505,459.721,175.181
68.197137,-6.465,45.567,459.721,175.181
69.197137,-6.465,37.364,459.486,175.181
70.197137,-6.700,25.176,459.721,175.415
71.197137,-6.700,16.035,459.721,174.946
72.197137,-6.465,8.769,459.017,175.181
73.197137,-6.465,1.738,459.252,174.946
74.197137,-6.700,-2.481,459.252,174.946
75.197137,-6.465,-5.059,459.486,174.946
76.197137,-6.465,-6.231,459.721,174.712
77.197137,-6.700,-6.700,459.721,174.712
78.197137,-6.465,-6.231,459.486,174.712
79.197137,-6.700,-6.700,459.721,174.712
80.197137,-6.700,-6.700,459.721,174.478
81.197137,-6.465,-6.465,459.721,174.946
82.197137,-6.465,-6.700,459.486,174.712
83.197137,-6.465,-6.231,459.721,174.712
84.197137,-5.997,-6.934,459.486,174.946
85.197137,-6.465,-6.700,459.486,174.243
86.197137,-6.700,-6.700,459.486,174.712
87.197137,-6.465,-6.465,459.252,174.712
88.197137,-6.700,-6.934,459.252,174.712
89.197137,-6.465,-6.700,459.252,174.712
90.197137,-6.700,-6.700,459.486,174.478
91.197137,-6.700,-6.700,459.486,174.712
92.197137,-6.700,-6.700,459.252,174.243
93.197137,-6.465,-6.700,459.252,174.478
94.197137,-6.700,-6.465,459.017,174.712
95.197137,-6.700,-6.934,459.252,174.478
96.197137,-6.934,-6.700,459.252,174.712
97.197137,-6.700,-6.934,459.486,174.243
98.197137,-6.700,-6.934,459.252,174.478
99.197137,-6.934,-6.700,459.252,174.009
100.197137,-6.934,-6.934,459.486,174.478
101.197137,-6.465,-6.934,459.252,174.243
102.197137,-6.934,-6.700,459.486,174.243
103.197137,-6.934,-6.700,459.252,174.478
104.197137,-6.934,-6.934,459.721,174.478
105.197137,-6.465,-6.465,459.486,174.243
106.197137,-6.700,-7.169,459.486,174.009
107.197137,-6.700,-6.700,459.721,174.478
108.197137,-6.700,-6.700,459.252,174.243
4292.642434,-6.700,-6.700,459.955,172.602
4293.342296,-6.231,-6.934,459.721,172.134
4294.042296,-6.465,-6.934,459.721,172.837
4294.742296,-6.700,-6.700,459.252,172.602
4295.442295,-6.465,-6.465,459.486,172.368
4296.142295,-6.465,-6.700,459.252,172.602
4296.842295,-6.231,-6.700,459.486,172.134
4297.542295,-6.700,-6.700,459.252,172.134
4298.242295,-6.700,-6.700,459.252,172.134
4300.164433,-6.465,-6.700,344.405,179.400
4301.164433,-6.700,-6.700,195.338,151.039
4302.164433,-6.231,-6.465,76.975,75.099
4303.164433,-6.700,-6.465,24.707,24.239
4304.164433,-6.700,-6.700,1.035,0.332
4305.164433,-6.231,-6.700,-4.825,-5.762
4306.164433,-6.700,-6.465,-5.997,-5.997
4308.164433,-6.231,-6.934,-5.762,-5.997
4309.164433,-6.231,-6.934,-5.762,-6.231
4310.164433,-6.465,-6.934,-5.762,-5.762
4311.164433,-6.700,-6.700,-5.762,-5.997
