time_s,P1_high_psi,P2_high_psi,P3_high_psi,P4_high_psi
0.000000,-6.700,-6.465,458.783,166.040
0.699862,-6.700,-6.700,459.017,166.040
1.399862,-6.465,-6.465,458.783,165.805
2.099862,-6.465,-6.465,458.783,165.805
3.499861,-6.700,-6.465,458.549,165.805
4.199861,-6.465,-6.231,459.252,166.040
4.899861,-6.934,-6.231,458.783,165.571
5.397999,-6.700,-6.465,459.017,165.805
6.397999,-6.700,-6.700,458.549,166.509
7.397999,-6.231,-6.465,459.252,166.274
8.397999,-6.465,-6.465,458.783,165.571
9.397999,-6.465,-6.465,459.486,166.040
10.397999,-6.700,-6.934,458.783,166.274
11.397999,-6.700,-6.231,458.783,166.040
12.397999,-6.700,-6.465,458.783,166.040
13.397999,-6.700,-6.465,459.252,166.040
14.397999,-6.934,-6.465,458.783,166.274
15.397999,-6.465,-6.700,459.017,166.509
16.397999,-6.231,-6.700,458.783,166.040
17.397999,-6.700,-6.465,459.486,166.274
18.397999,-6.700,-6.465,459.017,166.040
19.397999,-6.231,-6.934,447.064,165.805
20.397999,-6.934,-6.700,451.752,175.649
21.397999,-6.465,-6.700,458.549,175.415
22.397999,-6.465,-6.934,459.252,175.181
23.397999,-6.700,-6.465,459.017,174.946
24.397999,-6.465,-6.700,460.189,152.446
25.397999,-6.465,-6.465,458.783,180.806
26.397999,-5.997,-6.700,459.486,181.509
27.397999,-5.997,-6.231,459.252,181.509
28.397999,-6.465,-6.934,459.721,181.509
29.397999,-6.465,-6.700,460.424,181.743
30.397999,-6.700,-7.169,460.189,181.509
31.397999,-6.231,-6.934,460.189,181.509
32.397999,-6.465,-6.934,460.189,181.040
33.397999,-6.465,-6.231,460.424,181.978
35.397999,92.913,117.288,446.830,159.946
36.397999,75.803,134.867,436.986,156.196
37.397999,70.646,139.555,429.720,156.899
38.397999,68.302,142.133,436.751,159.243
39.397999,67.130,143.773,438.626,160.180
40.397999,67.365,144.711,438.392,159.477
41.397999,66.193,145.649,437.923,159.946
42.397999,65.959,145.414,436.751,159.008
43.397999,65.959,145.649,436.048,159.243
44.397999,65.490,146.117,436.048,159.243
45.397999,71.584,146.117,436.048,159.243
46.397999,65.255,146.820,437.220,159.711
47.397999,35.489,146.820,438.861,160.649
48.397999,12.285,147.055,436.986,160.883
49.397999,2.207,147.055,435.814,159.477
50.397999,-1.778,146.820,435.814,159.243
51.397999,-6.231,-6.700,460.189,179.165
52.397999,-6.700,-6.465,459.721,178.462
53.397999,-6.465,-6.934,460.189,178.228
54.397999,-6.465,-6.465,459.955,178.228
55.397999,-5.997,-6.934,459.955,178.228
56.397999,-6.465,-6.934,459.721,177.993
57.397999,-6.700,-6.465,459.721,177.290
58.397999,-5.997,-6.465,460.424,178.462
59.397999,-6.700,-6.700,460.189,177.759
60.397999,-6.465,-6.700,459.955,177.759
61.397999,-6.465,-7.169,459.721,178.462
62.397999,-6.700,-6.700,459.955,177.759
63.397999,-6.700,-6.934,459.721,177.524
64.397999,-6.465,-6.934,459.955,177.759
65.397999,-6.700,-6.700,459.955,177.759
66.397999,-6.231,-6.700,459.721,177.759
67.397999,-6.465,-6.700,459.486,177.993
68.397999,-6.465,-6.700,459.486,177.759
69.397999,-5.997,-6.934,459.486,177.524
70.397999,-6.465,-6.700,459.955,177.759
71.397999,-6.700,-6.700,459.955,177.290
72.397999,-6.465,-6.700,459.486,177.524
73.397999,-6.465,-6.700,459.486,177.290
74.397999,-6.700,-6.700,459.721,177.524
75.397999,-6.465,-6.934,459.955,177.759
76.397999,-6.465,-6.934,459.721,177.290
77.397999,-6.465,-6.934,459.486,177.524
78.397999,-6.700,-6.700,459.486,177.524
79.397999,-6.465,-7.169,459.721,177.290
80.397999,-6.465,-6.465,459.721,177.290
81.397999,-6.231,-6.934,459.721,177.524
82.397999,-6.700,-6.934,459.486,177.056
4294.968296,-6.465,-6.934,459.721,177.290
