time_s,P1_high_psi,P2_high_psi,P3_high_psi,P4_high_psi
0.000000,-6.700,-6.465,460.658,192.291
2.000000,-6.465,-6.934,459.955,192.994
4.000000,-6.465,-6.231,460.424,192.291
6.000000,-5.762,-6.700,460.424,192.291
8.000000,-6.465,-6.700,459.955,192.759
10.000000,-6.934,-6.465,460.189,192.525
12.000000,-6.700,-6.700,460.424,192.056
14.000000,-6.700,-6.465,460.424,192.525
16.000000,-6.465,-6.934,460.424,192.056
18.000000,-6.465,-6.465,459.955,192.056
20.000000,-6.700,-6.465,460.189,192.291
22.000000,-6.934,-6.700,460.658,192.291
24.000000,-7.169,-7.169,459.955,192.291
26.000000,-6.700,-6.700,460.189,192.056
28.000000,-6.465,-6.934,460.189,192.291
30.000000,-6.465,-6.465,460.189,191.587
32.000000,-6.465,-6.700,459.721,191.822
34.000000,-6.465,-6.465,460.658,191.353
36.000000,-6.700,-6.700,459.955,191.822
38.000000,-6.231,-6.700,460.189,191.587
40.000000,-6.231,-6.700,460.424,191.822
42.000000,-6.231,-6.700,460.424,191.587
44.000000,-6.700,-6.700,459.721,191.353
46.000000,-6.700,-6.465,459.721,191.822
48.000000,-6.700,-6.465,459.955,191.822
50.000000,-6.934,-6.700,460.189,191.119
