timestamp,seq,solenoids,P_0,P_1,P_2,P_3,T_0,LC_0
737000000,7370,0000000000000000,2638,2638,2641,2641,21930,64640
742000000,7420,0000000000000000,2638,2637,2642,2641,21930,52288
746000000,7460,0000000000000000,2638,2635,2642,2641,21930,20672
748000000,7480,0000000000000000,2637,2638,2640,2639,21930,54592
750000000,7500,0000000000000000,2636,2637,2642,2641,21930,22976
752000000,7520,0000000000000000,2636,2638,2641,2639,21930,56896
754000000,7540,0000000000000000,2638,2636,2642,2639,21930,25280
756000000,7560,0000000000000000,2637,2639,2642,2640,21930,10624
761000000,7610,0000000000000000,2636,2638,2641,2640,21930,12928
763000000,7630,0000000000000000,2637,2638,2641,2640,21930,46848
765000000,7650,0000000000000000,2637,2637,2643,2640,21930,15232
