time_s,P1_high_psi,P2_high_psi,P3_high_psi,P4_high_psi
0.000000,-6.465,-6.934,459.721,177.290
0.215000,-6.465,-6.934,459.721,177.056
0.229974,-6.465,-6.465,459.721,176.587
0.244960,-6.700,-6.700,459.486,176.821
0.259946,-6.231,-6.934,459.486,177.056
0.274932,-6.231,-6.934,459.252,176.587
0.289918,-6.700,-6.700,459.486,176.587
0.304904,-6.231,-6.934,459.486,177.056
0.319890,-6.700,-6.465,459.252,176.821
0.334876,-6.465,-6.700,459.486,176.821
0.349862,-6.231,-6.700,459.486,176.821
0.565000,-6.700,-6.934,459.721,176.587
0.579974,-6.700,-6.934,459.721,176.821
0.594960,-6.231,-6.934,459.486,176.821
0.609946,-6.465,-6.465,459.486,176.821
0.624932,-6.465,-6.700,459.721,176.821
0.639918,-6.465,-6.934,459.721,177.290
0.654904,-6.934,-6.700,459.252,177.056
0.669890,-6.700,-6.465,459.486,177.056
0.684876,-6.700,-6.465,459.486,176.821
0.699862,-6.465,-6.934,459.486,176.821
0.915000,-6.465,-6.700,459.486,176.821
0.929974,-6.465,-6.700,459.721,176.821
0.944960,-6.465,-7.169,459.721,177.056
0.959946,-6.700,-6.700,459.721,177.056
0.974932,-6.465,-6.934,459.721,176.821
0.989918,-6.700,-6.934,459.486,176.587
1.004904,-6.465,-6.700,459.721,176.821
1.019890,-6.231,-6.700,459.486,176.821
1.034876,-6.700,-6.700,459.486,177.056
1.049862,-6.465,-6.465,459.486,176.821
1.265000,-6.700,-6.934,459.486,176.587
1.279974,-6.465,-6.465,459.486,176.587
1.294960,-6.465,-6.934,459.486,176.821
1.309946,-6.231,-6.700,459.486,176.587
1.324932,-6.700,-6.700,459.486,176.821
1.339918,-6.231,-6.700,459.486,177.056
1.354904,-6.465,-6.934,459.486,176.821
1.369890,-6.465,-6.465,459.252,176.821
1.384876,-6.231,-6.465,459.721,177.056
1.399862,-6.465,-6.934,459.486,176.821
1.615000,-6.700,-6.934,459.486,176.353
1.629974,-6.231,-6.700,459.252,176.821
1.644960,-6.465,-6.700,459.252,176.821
1.659946,-6.465,-6.934,459.486,176.587
1.674932,-6.231,-6.465,459.486,176.821
1.689918,-6.465,-6.700,459.486,176.821
1.704904,-6.465,-6.934,459.721,176.821
1.719890,-6.465,-6.700,459.721,177.056
1.734876,-6.700,-7.169,459.721,176.821
1.749862,-6.465,-6.700,459.721,176.587
1.965001,-6.700,-6.465,459.486,176.821
1.979974,-6.700,-6.700,459.486,176.821
1.994960,-6.700,-6.700,459.486,176.821
2.009946,-6.700,-6.934,459.721,176.587
2.024932,-6.934,-6.700,459.721,176.821
2.039918,-6.465,-6.934,459.486,176.821
2.054904,-6.700,-6.700,459.721,176.821
2.069890,-6.465,-6.934,459.721,177.056
2.084876,-6.465,-6.700,459.486,176.821
2.099862,-6.231,-6.700,459.721,177.056
2.315000,-6.465,-6.934,459.486,176.821
2.329974,-6.700,-6.934,459.721,176.821
2.344960,-6.700,-6.700,459.721,176.821
2.359946,-6.465,-6.934,459.486,176.821
2.374932,-6.465,-6.700,459.486,176.821
2.389918,-6.231,-6.700,459.486,176.587
2.404904,-6.465,-6.700,459.486,176.587
2.419890,-6.700,-6.934,459.486,176.821
2.434876,-6.934,-6.700,459.721,176.821
2.449862,-6.700,-6.700,459.486,176.353
2.665001,-6.465,-6.700,459.721,176.821
2.679974,-6.700,-6.465,459.486,176.821
2.694960,-6.465,-6.934,459.486,176.587
2.709946,-6.700,-6.934,459.721,176.587
2.724932,-6.700,-6.700,459.486,176.821
2.739918,-6.465,-6.700,459.955,177.056
2.754904,-6.465,-6.934,459.486,176.821
2.769890,-6.465,-6.465,459.486,176.821
2.784876,-6.700,-6.465,459.721,176.821
2.799862,-6.700,-6.700,459.252,177.056
3.015000,-6.465,-6.934,459.486,176.587
3.029974,-6.465,-6.700,459.486,176.821
3.044960,-6.465,-6.700,459.486,176.587
3.059946,-6.700,-6.700,459.486,176.821
3.074932,-6.700,-6.700,459.486,176.821
3.089918,-6.700,-6.465,459.252,176.821
3.104904,-6.700,-6.700,459.486,176.587
3.119890,-6.700,-6.700,459.486,177.056
3.134876,-6.231,-6.700,459.721,176.821
3.149862,-6.700,-6.934,459.486,176.821
3.365000,-6.465,-6.700,459.486,176.821
3.379974,-6.700,-6.934,459.252,176.821
3.394960,-6.934,-6.700,459.955,176.587
3.409946,-6.465,-6.700,459.721,176.587
3.424932,-6.700,-6.700,459.721,177.056
3.439918,-6.700,-6.700,459.486,176.821
3.454904,-6.465,-6.465,459.486,177.056
3.469890,-6.934,-7.169,459.721,176.587
3.484876,-6.700,-6.934,459.486,176.587
3.499862,-6.465,-6.700,459.955,176.821
3.715001,-6.934,-6.700,459.486,176.587
3.729974,-6.700,-6.700,459.486,176.821
3.744960,-6.465,-6.700,459.486,176.587
3.759946,-6.700,-6.700,459.486,176.821
3.774932,-6.465,-6.934,459.486,176.821
3.789918,-6.465,-6.700,459.486,176.587
3.804904,-6.934,-6.934,459.721,176.587
3.819890,-6.700,-6.465,459.486,176.587
3.834876,-6.465,-6.700,459.721,176.587
3.849862,-6.700,-6.465,459.486,176.821
4.065000,-6.700,-6.934,459.486,176.353
4.079974,-6.700,-6.700,459.721,176.821
4.094960,-6.700,-6.700,459.721,176.587
4.109946,-6.700,-6.700,459.486,176.821
4.124932,-6.700,-6.934,459.721,176.587
4.139918,-6.231,-6.700,459.721,176.821
4.154904,-6.700,-6.934,459.721,176.821
4.169890,-6.465,-6.700,459.486,177.056
4.184876,-6.465,-7.169,459.486,176.821
4.199862,-6.465,-6.700,459.486,177.056
4.415001,-6.700,-6.934,459.486,176.587
4.429974,-6.465,-6.934,459.721,176.353
4.444960,-6.700,-6.700,459.721,176.587
4.459946,-6.700,-6.934,459.721,176.821
4.474932,-6.465,-6.465,459.486,176.821
4.489918,-6.465,-6.465,459.721,176.587
4.504904,-6.465,-6.700,459.721,176.821
4.519890,-6.465,-6.934,459.721,176.587
4.534876,-6.465,-6.465,459.486,176.353
4.549862,-6.465,-6.465,459.721,176.587
4.765000,-6.465,-6.934,459.486,176.821
4.779974,-6.700,-6.700,459.486,176.587
4.794960,-6.700,-6.700,459.955,176.587
4.809946,-6.700,-6.700,459.721,176.587
4.824932,-6.700,-6.934,459.486,176.821
4.839918,-6.465,-6.934,459.486,176.587
4.854904,-6.465,-6.700,459.721,176.587
4.869890,-6.465,-6.700,459.486,176.821
4.884876,-6.465,-6.700,459.486,176.353
4.899862,-6.231,-6.700,459.486,176.821
5.115001,-6.465,-6.934,459.955,177.056
5.129974,-6.700,-6.465,459.486,176.821
5.144960,-6.700,-7.169,459.252,177.056
5.159946,-6.465,-6.700,459.486,176.353
5.174932,-6.465,-6.700,459.486,176.821
5.189918,-6.700,-6.700,459.252,177.056
5.204904,-6.231,-6.700,459.721,176.587
5.219890,-6.934,-6.700,459.721,176.587
5.296999,-6.700,-7.169,459.721,176.587
5.396999,-6.700,-6.700,459.486,176.821
5.613000,-6.700,-6.934,459.721,176.587
5.627974,-6.700,-6.934,459.486,176.821
5.696999,-6.465,-6.700,459.252,176.821
5.796999,-6.465,-6.934,459.252,176.353
5.896999,-6.465,-6.465,459.721,176.821
5.996999,-6.700,-6.700,459.486,177.056
6.096999,-6.465,-6.934,459.252,176.587
6.196999,-6.700,-6.700,459.486,176.587
6.296999,-6.700,-6.700,459.486,176.587
6.396999,-6.465,-6.700,459.486,176.587
6.613000,-6.700,-6.700,459.486,176.587
6.627974,-6.700,-6.465,459.252,176.353
6.696999,-6.700,-6.700,459.486,176.587
6.796999,-6.465,-6.934,459.721,176.821
6.896999,-6.465,-6.465,459.721,176.587
6.996999,-6.231,-6.465,459.486,176.587
7.096999,-6.465,-6.934,459.486,176.587
7.196999,-6.465,-6.700,459.252,176.821
7.296999,-6.465,-7.169,459.721,176.353
7.396999,-6.700,-6.465,459.721,176.587
7.612000,-6.465,-6.700,459.721,176.587
7.626974,-6.700,-6.934,459.486,176.587
7.696999,-6.700,-6.934,459.721,176.821
7.796999,-6.231,-6.934,459.955,176.587
