time_s,P1_high_psi,P2_high_psi,P3_high_psi,P4_high_psi
0.000000,-6.700,-6.465,458.783,166.040
0.215000,-6.934,-6.700,458.314,165.571
0.229974,-6.700,-6.700,459.017,166.040
0.244960,-6.700,-6.934,459.017,166.274
0.259946,-6.700,-6.231,459.017,166.040
0.274932,-6.934,-7.169,459.017,166.040
0.289918,-6.465,-6.934,459.017,166.040
0.304904,-6.700,-6.231,458.783,165.805
0.319890,-6.700,-6.465,458.783,165.805
0.334876,-6.700,-6.934,459.017,166.040
0.349862,-6.700,-6.465,459.017,165.805
0.565000,-6.934,-6.934,459.017,166.040
0.579974,-6.700,-6.465,458.783,165.805
0.594960,-6.700,-6.231,459.017,166.040
0.609946,-6.465,-6.700,459.017,166.040
0.624932,-6.700,-6.231,458.783,165.805
0.639918,-6.465,-6.700,459.017,165.571
0.654904,-6.934,-6.700,459.017,165.805
0.669890,-6.231,-6.934,458.549,165.571
0.684876,-6.465,-6.700,458.314,166.274
0.699862,-6.700,-6.700,459.017,166.040
0.915000,-6.700,-6.465,459.252,166.040
0.929974,-6.700,-6.700,459.017,166.274
0.944960,-6.934,-6.465,459.017,166.040
0.959946,-6.934,-6.700,459.017,166.040
0.974932,-6.465,-6.465,458.783,166.040
0.989918,-6.465,-6.465,459.017,165.805
1.004904,-6.700,-6.465,458.783,166.040
1.019890,-6.465,-6.465,459.017,166.040
1.034876,-6.465,-6.700,458.783,165.805
1.049862,-6.700,-6.231,459.017,166.274
1.265000,-6.934,-6.465,458.783,166.040
1.279974,-6.465,-6.700,459.252,166.040
1.294960,-6.700,-6.700,459.017,165.805
1.309946,-6.465,-6.934,458.783,166.274
1.324932,-6.700,-6.700,458.783,166.040
1.339918,-6.700,-6.700,459.017,165.571
1.354904,-6.700,-6.700,458.783,166.040
1.369890,-6.465,-6.700,459.252,166.274
1.384876,-6.465,-6.700,459.252,166.509
1.399862,-6.465,-6.465,458.783,165.805
1.615000,-6.465,-6.700,459.017,165.805
1.629974,-6.700,-6.700,458.549,166.040
1.644960,-6.934,-6.934,458.783,165.571
