timestamp,seq,solenoids,P_0,P_1,P_2,P_3
113790632,1830,0000000000000000,2643,2636,2639,2640
114358632,1840,0000000000000000,2642,2636,2639,2639
114926631,1850,0000000000000000,2642,2636,2638,2638
115494634,1860,0000000000000000,2642,2635,2639,2638
116062631,1870,0000000000000000,2642,2635,2639,2638
116630634,1880,0000000000000000,2641,2636,2639,2637
117198633,1890,0000000000000000,2642,2636,2638,2639
117766633,1900,0000000000000000,2643,2636,2637,2637
118334631,1910,0000000000000000,2642,2636,2638,2639
118902633,1920,0000000000000000,2642,2636,2639,2639
119474679,1930,0000000000000000,2642,2635,2638,2638
120042632,1940,0000000000000000,2642,2635,2637,2637
120610634,1950,0000000000000000,2641,2635,2637,2637
121178632,1960,0000000000000000,2643,2635,2638,2639
121746633,1970,0000000000000000,2642,2637,2638,2637
122314634,1980,0000000000000000,2642,2635,2637,2638
122882631,1990,0000000000000000,2642,2635,2638,2639
123450632,2000,0000000000000000,2642,2635,2639,2637
124018633,2010,0000000000000000,2642,2635,2639,2638
124586633,2020,0000000000000000,2643,2635,2638,2638
125154632,2030,0000000000000000,2642,2636,2639,2638
125728764,2040,0000000000000000,2642,2636,2639,2638
126296632,2050,0000000000000000,2642,2635,2638,2638
126864632,2060,0000000000000000,2642,2637,2639,2638
127432632,2070,0000000000000000,2642,2636,2639,2638
128000631,2080,0000000000000000,2643,2636,2640,2639
128568631,2090,0000000000000000,2643,2635,2640,2639
129136632,2100,0000000000000000,2642,2636,2639,2639
129704631,2110,0000000000000000,2642,2637,2639,2639
130272632,2120,0000000000000000,2644,2636,2639,2638
130840632,2130,0000000000000000,2643,2636,2638,2638
131408631,2140,0000000000000000,2642,2634,2639,2638
131980746,2150,0000000000000000,2642,2637,2640,2639
132548632,2160,0000000000000000,2643,2635,2640,2638
133116632,2170,0000000000000000,2643,2637,2638,2638
133684632,2180,0000000000000000,2642,2637,2639,2639
134252631,2190,0000000000000000,2643,2637,2638,2639
134820632,2200,0000000000000000,2642,2636,2639,2637
135388632,2210,0000000000000000,2643,2637,2639,2638
135956631,2220,0000000000000000,2643,2636,2639,2638
136524632,2230,0000000000000000,2642,2636,2638,2637
137092631,2240,0000000000000000,2642,2636,2637,2638
137660631,2250,0000000000000000,2642,2636,2638,2639
138228632,2260,0000000000000000,2643,2635,2639,2638
138800632,2270,0000000000000000,2643,2636,2639,2638
139368631,2280,0000000000000000,2644,2637,2640,2639
139936632,2290,0000000000000000,2643,2638,2641,2639
140504631,2300,0000000000000000,2642,2637,2639,2639
141072631,2310,0000000000000000,2642,2636,2639,2639
141640632,2320,0000000000000000,2642,2636,2638,2638
142208631,2330,0000000000000000,2643,2634,2637,2638
142776633,2340,0000000000000000,2642,2636,2638,2637
143344633,2350,0000000000000000,2642,2636,2638,2638
143912633,2360,0000000000000000,2642,2635,2638,2638
144480633,2370,0000000000000000,2642,2635,2639,2638
145052731,2380,0000000000000000,2641,2636,2639,2638
145620632,2390,0000000000000000,2642,2635,2639,2638
146188632,2400,0000000000000000,2642,2635,2639,2639
146756633,2410,0000000000000000,2642,2636,2638,2639
147324631,2420,0000000000000000,2642,2635,2638,2638
147892631,2430,0000000000000000,2643,2634,2639,2638
148460633,2440,0000000000000000,2642,2635,2640,2639
149596633,2460,0000000000000000,2642,2637,2638,2639
150164634,2470,0000000000000000,2642,2636,2638,2638
150732631,2480,0000000000000000,2643,2636,2638,2639
151875633,2500,0000000000000000,2642,2636,2638,2638
152443631,2510,0000000000000000,2641,2636,2640,2637
153011631,2520,0000000000000000,2642,2635,2639,2638
153579633,2530,0000000000000000,2642,2636,2639,2639
154147633,2540,0000000000000000,2642,2635,2638,2637
154715634,2550,0000000000000000,2641,2635,2638,2637
155283632,2560,0000000000000000,2642,2635,2638,2638
155851632,2570,0000000000000000,2643,2637,2639,2638
156419632,2580,0000000000000000,2642,2636,2638,2638
156987632,2590,0000000000000000,2642,2636,2639,2639
157592029,2600,0000000000000000,2642,2636,2640,2639
158159631,2610,0000000000000000,2642,2636,2639,2638
158727631,2620,0000000000000000,2642,2637,2639,2638
159295632,2630,0000000000000000,2643,2637,2638,2638
159863631,2640,0000000000000000,2642,2637,2638,2637
160431631,2650,0000000000000000,2642,2636,2639,2639
160999631,2660,0000000000000000,2641,2636,2639,2638
161567631,2670,0000000000000000,2642,2637,2639,2638
162135632,2680,0000000000000000,2642,2636,2639,2638
163839631,2710,0000000000000000,2642,2636,2639,2638
164412169,2720,0000000000000000,2642,2636,2639,2637
164979632,2730,0000000000000000,2643,2636,2638,2638
165547631,2740,0000000000000000,2643,2636,2639,2639
166115632,2750,0000000000000000,2642,2636,2639,2638
167819632,2780,0000000000000000,2643,2636,2639,2639
168387632,2790,0000000000000000,2642,2636,2639,2638
168955632,2800,0000000000000000,2643,2637,2638,2639
169523633,2810,0000000000000000,2642,2638,2640,2640
170091633,2820,0000000000000000,2643,2636,2639,2639
170663679,2830,0000000000000000,2643,2637,2638,2639
171231633,2840,0000000000000000,2642,2635,2638,2638
171799633,2850,0000000000000000,2642,2635,2638,2638
172367631,2860,0000000000000000,2643,2636,2639,2639
172935632,2870,0000000000000000,2642,2635,2638,2637
173503633,2880,0000000000000000,2642,2637,2639,2639
174071632,2890,0000000000000000,2643,2637,2639,2639
174639632,2900,0000000000000000,2643,2636,2638,2639
175207633,2910,0000000000000000,2642,2636,2639,2638
175775634,2920,0000000000000000,2641,2637,2639,2639
176343633,2930,0000000000000000,2641,2637,2638,2638
176917764,2940,0000000000000000,2643,2636,2638,2639
177485634,2950,0000000000000000,2642,2636,2638,2638
178053633,2960,0000000000000000,2641,2634,2638,2638
178621631,2970,0000000000000000,2642,2635,2638,2638
179189633,2980,0000000000000000,2642,2636,2638,2638
180893633,3010,0000000000000000,2643,2636,2638,2639
181461632,3020,0000000000000000,2642,2635,2639,2639
182029632,3030,0000000000000000,2642,2636,2639,2638
182597633,3040,0000000000000000,2642,2636,2639,2638
183165631,3050,0000000000000000,2641,2637,2638,2637
183737749,3060,0000000000000000,2642,2636,2638,2638
184873632,3080,0000000000000000,2641,2636,2638,2639
185441631,3090,0000000000000000,2643,2636,2638,2639
186009632,3100,0000000000000000,2642,2635,2639,2638
186577632,3110,0000000000000000,2643,2637,2639,2637
187145631,3120,0000000000000000,2642,2635,2638,2637
188281632,3140,0000000000000000,2642,2635,2638,2638
188849632,3150,0000000000000000,2641,2635,2638,2638
189417632,3160,0000000000000000,2641,2635,2638,2637
189989820,3170,0000000000000000,2641,2635,2638,2638
190557632,3180,0000000000000000,2642,2636,2638,2637
191125632,3190,0000000000000000,2642,2636,2638,2638
