timestamp,seq,solenoids,P_0,P_1,P_2,P_3
152788634,2520,0000000000000000,2641,2635,2637,2638
153356634,2530,0000000000000000,2641,2634,2637,2636
153924634,2540,0000000000000000,2641,2635,2636,2637
154492634,2550,0000000000000000,2642,2635,2638,2637
155060632,2560,0000000000000000,2641,2635,2636,2637
155628634,2570,0000000000000000,2641,2634,2637,2637
156196632,2580,0000000000000000,2641,2634,2638,2638
156764634,2590,0000000000000000,2641,2634,2637,2637
157334995,2600,0000000000000000,2641,2634,2636,2637
157902633,2610,0000000000000000,2642,2634,2637,2637
158470634,2620,0000000000000000,2642,2633,2636,2637
159038632,2630,0000000000000000,2641,2635,2636,2637
159606634,2640,0000000000000000,2642,2635,2636,2637
160174634,2650,0000000000000000,2642,2634,2637,2638
160742632,2660,0000000000000000,2641,2634,2637,2637
161310634,2670,0000000000000000,2641,2633,2637,2637
161878632,2680,0000000000000000,2641,2634,2636,2638
162446634,2690,0000000000000000,2641,2634,2637,2636
163014632,2700,0000000000000000,2642,2634,2636,2638
163582632,2710,0000000000000000,2641,2635,2636,2637
164152959,2720,0000000000000000,2641,2635,2637,2637
164720632,2730,0000000000000000,2642,2634,2638,2637
165856632,2750,0000000000000000,2641,2634,2638,2637
166424634,2760,0000000000000000,2641,2633,2637,2637
166992632,2770,0000000000000000,2641,2634,2637,2637
167560634,2780,0000000000000000,2641,2634,2637,2638
168128634,2790,0000000000000000,2641,2635,2637,2638
168696632,2800,0000000000000000,2642,2635,2636,2636
169264634,2810,0000000000000000,2641,2635,2636,2637
169832634,2820,0000000000000000,2641,2634,2636,2638
170403177,2830,0000000000000000,2642,2635,2637,2638
170970634,2840,0000000000000000,2642,2634,2637,2637
171538633,2850,0000000000000000,2641,2634,2637,2637
172106634,2860,0000000000000000,2641,2634,2637,2636
172674634,2870,0000000000000000,2641,2634,2637,2636
173242634,2880,0000000000000000,2641,2634,2637,2638
173810634,2890,0000000000000000,2641,2634,2637,2637
174378634,2900,0000000000000000,2642,2635,2636,2637
174946634,2910,0000000000000000,2642,2634,2636,2637
175514634,2920,0000000000000000,2641,2635,2636,2637
176082634,2930,0000000000000000,2641,2634,2636,2637
176653031,2940,0000000000000000,2641,2634,2637,2637
177220634,2950,0000000000000000,2642,2634,2637,2637
177788634,2960,0000000000000000,2640,2634,2637,2637
178356634,2970,0000000000000000,2641,2635,2637,2637
178924634,2980,0000000000000000,2641,2635,2636,2638
179492634,2990,0000000000000000,2642,2635,2636,2637
180060634,3000,0000000000000000,2641,2634,2637,2637
180628634,3010,0000000000000000,2641,2634,2637,2637
181196634,3020,0000000000000000,2642,2634,2636,2637
181764634,3030,0000000000000000,2641,2634,2637,2638
182332634,3040,0000000000000000,2641,2635,2637,2637
182900634,3050,0000000000000000,2641,2634,2637,2637
183471004,3060,0000000000000000,2641,2634,2637,2638
184038634,3070,0000000000000000,2641,2635,2636,2636
184606632,3080,0000000000000000,2641,2635,2636,2637
185174632,3090,0000000000000000,2641,2634,2637,2636
185742634,3100,0000000000000000,2642,2634,2636,2637
186310632,3110,0000000000000000,2641,2634,2636,2636
186878632,3120,0000000000000000,2641,2634,2636,2638
187446632,3130,0000000000000000,2641,2634,2636,2637
188014632,3140,0000000000000000,2641,2634,2637,2637
188582634,3150,0000000000000000,2641,2634,2636,2637
189150632,3160,0000000000000000,2642,2634,2636,2637
189720990,3170,0000000000000000,2641,2634,2636,2638
190288632,3180,0000000000000000,2641,2634,2637,2637
190856632,3190,0000000000000000,2641,2634,2637,2636
191424634,3200,0000000000000000,2641,2634,2636,2636
191992634,3210,0000000000000000,2641,2634,2637,2638
192560632,3220,0000000000000000,2640,2633,2636,2637
193128632,3230,0000000000000000,2641,2634,2636,2637
193696632,3240,0000000000000000,2641,2635,2636,2637
194264634,3250,0000000000000000,2641,2635,2636,2637
194832632,3260,0000000000000000,2641,2634,2637,2638
195400634,3270,0000000000000000,2642,2636,2637,2637
195971213,3280,0000000000000000,2641,2635,2637,2638
196538632,3290,0000000000000000,2642,2635,2637,2638
197106634,3300,0000000000000000,2641,2634,2637,2637
197674632,3310,0000000000000000,2641,2634,2637,2638
198242632,3320,0000000000000000,2642,2634,2636,2637
