t_sec,timestamp,seq,solenoids,P_0,P_1,P_2,P_3
0.0,152788634,2520,0,-6.0,-2.96,-2.77,-2.68
0.568,153356634,2530,0,-6.0,-3.05,-2.77,-2.87
1.136,153924634,2540,0,-6.0,-2.96,-2.87,-2.77
1.704,154492634,2550,0,-5.76,-2.96,-2.68,-2.77
2.271998,155060632,2560,0,-6.0,-2.96,-2.87,-2.77
2.84,155628634,2570,0,-6.0,-3.05,-2.77,-2.77
3.407998,156196632,2580,0,-6.0,-3.05,-2.68,-2.68
3.976,156764634,2590,0,-6.0,-3.05,-2.77,-2.77
4.546361,157334995,2600,0,-6.0,-3.05,-2.87,-2.77
5.113999,157902633,2610,0,-5.76,-3.05,-2.77,-2.77
5.682,158470634,2620,0,-5.76,-3.15,-2.87,-2.77
6.249998,159038632,2630,0,-6.0,-2.96,-2.87,-2.77
6.818,159606634,2640,0,-5.76,-2.96,-2.87,-2.77
7.386,160174634,2650,0,-5.76,-3.05,-2.77,-2.68
7.953998,160742632,2660,0,-6.0,-3.05,-2.77,-2.77
8.522,161310634,2670,0,-6.0,-3.15,-2.77,-2.77
9.089998,161878632,2680,0,-6.0,-3.05,-2.87,-2.68
9.658,162446634,2690,0,-6.0,-3.05,-2.77,-2.87
10.225998,163014632,2700,0,-5.76,-3.05,-2.87,-2.68
10.793998,163582632,2710,0,-6.0,-2.96,-2.87,-2.77
11.364325,164152959,2720,0,-6.0,-2.96,-2.77,-2.77
11.931998,164720632,2730,0,-5.76,-3.05,-2.68,-2.77
13.067998,165856632,2750,0,-6.0,-3.05,-2.68,-2.77
13.636,166424634,2760,0,-6.0,-3.15,-2.77,-2.77
14.203998,166992632,2770,0,-6.0,-3.05,-2.77,-2.77
14.772,167560634,2780,0,-6.0,-3.05,-2.77,-2.68
15.34,168128634,2790,0,-6.0,-2.96,-2.77,-2.68
15.907998,168696632,2800,0,-5.76,-2.96,-2.87,-2.87
16.476,169264634,2810,0,-6.0,-2.96,-2.87,-2.77
17.044,169832634,2820,0,-6.0,-3.05,-2.87,-2.68
17.614543,170403177,2830,0,-5.76,-2.96,-2.77,-2.68
18.182,170970634,2840,0,-5.76,-3.05,-2.77,-2.77
18.749999,171538633,2850,0,-6.0,-3.05,-2.77,-2.77
19.318,172106634,2860,0,-6.0,-3.05,-2.77,-2.87
19.886,172674634,2870,0,-6.0,-3.05,-2.77,-2.87
20.454,173242634,2880,0,-6.0,-3.05,-2.77,-2.68
21.022,173810634,2890,0,-6.0,-3.05,-2.77,-2.77
21.59,174378634,2900,0,-5.76,-2.96,-2.87,-2.77
22.158,174946634,2910,0,-5.76,-3.05,-2.87,-2.77
22.726,175514634,2920,0,-6.0,-2.96,-2.87,-2.77
23.294,176082634,2930,0,-6.0,-3.05,-2.87,-2.77
23.864397,176653031,2940,0,-6.0,-3.05,-2.77,-2.77
24.432,177220634,2950,0,-5.76,-3.05,-2.77,-2.77
25.0,177788634,2960,0,-6.23,-3.05,-2.77,-2.77
25.568,178356634,2970,0,-6.0,-2.96,-2.77,-2.77
26.136,178924634,2980,0,-6.0,-2.96,-2.87,-2.68
26.704,179492634,2990,0,-5.76,-2.96,-2.87,-2.77
27.272,180060634,3000,0,-6.0,-3.05,-2.77,-2.77
27.84,180628634,3010,0,-6.0,-3.05,-2.77,-2.77
28.408,181196634,3020,0,-5.76,-3.05,-2.87,-2.77
28.976,181764634,3030,0,-6.0,-3.05,-2.77,-2.68
29.544,182332634,3040,0,-6.0,-2.96,-2.77,-2.77
30.112,182900634,3050,0,-6.0,-3.05,-2.77,-2.77
30.68237,183471004,3060,0,-6.0,-3.05,-2.77,-2.68
31.25,184038634,3070,0,-6.0,-2.96,-2.87,-2.87
31.817998,184606632,3080,0,-6.0,-2.96,-2.87,-2.77
32.385998,185174632,3090,0,-6.0,-3.05,-2.77,-2.87
32.954,185742634,3100,0,-5.76,-3.05,-2.87,-2.77
33.521998,186310632,3110,0,-6.0,-3.05,-2.87,-2.87
34.089998,186878632,3120,0,-6.0,-3.05,-2.87,-2.68
34.657998,187446632,3130,0,-6.0,-3.05,-2.87,-2.77
35.225998,188014632,3140,0,-6.0,-3.05,-2.77,-2.77
35.794,188582634,3150,0,-6.0,-3.05,-2.87,-2.77
36.361998,189150632,3160,0,-5.76,-3.05,-2.87,-2.77
36.932356,189720990,3170,0,-6.0,-3.05,-2.87,-2.68
37.499998,190288632,3180,0,-6.0,-3.05,-2.77,-2.77
38.067998,190856632,3190,0,-6.0,-3.05,-2.77,-2.87
38.636,191424634,3200,0,-6.0,-3.05,-2.87,-2.87
39.204,191992634,3210,0,-6.0,-3.05,-2.77,-2.68
39.771998,192560632,3220,0,-6.23,-3.15,-2.87,-2.77
40.339998,193128632,3230,0,-6.0,-3.05,-2.87,-2.77
40.907998,193696632,3240,0,-6.0,-2.96,-2.87,-2.77
41.476,194264634,3250,0,-6.0,-2.96,-2.87,-2.77
42.043998,194832632,3260,0,-6.0,-3.05,-2.77,-2.68
42.612,195400634,3270,0,-5.76,-2.87,-2.77,-2.77
43.182579,195971213,3280,0,-6.0,-2.96,-2.77,-2.68
43.749998,196538632,3290,0,-5.76,-2.96,-2.77,-2.68
44.318,197106634,3300,0,-6.0,-3.05,-2.77,-2.77
44.885998,197674632,3310,0,-6.0,-3.05,-2.77,-2.68
45.453998,198242632,3320,0,-5.76,-3.05,-2.87,-2.77
