t_sec,timestamp,seq,solenoids,P_0,P_1,P_2,P_3
0.0,1736474631,30390,0,-6.0,-3.05,-2.87,-2.68
0.571068,1737045699,30400,0,-6.0,-3.05,-2.87,-2.77
1.139,1737613631,30410,0,-6.0,-3.15,-2.87,-2.68
1.707,1738181631,30420,0,-6.23,-3.05,-2.87,-2.77
2.275,1738749631,30430,0,-6.0,-3.15,-2.96,-2.68
2.843,1739317631,30440,0,-6.0,-3.15,-2.77,-2.68
3.411,1739885631,30450,0,-6.23,-3.05,-2.87,-2.87
3.979,1740453631,30460,0,-6.23,-3.05,-2.77,-2.77
4.547,1741021631,30470,0,-6.0,-3.05,-2.77,-2.68
5.115,1741589631,30480,0,-6.0,-2.96,-2.68,-2.59
5.683004,1742157635,30490,0,-6.0,-3.15,-2.77,-2.77
6.251004,1742725635,30500,0,-5.76,-3.05,-2.87,-2.68
6.819,1743293631,30510,0,-6.0,-3.15,-2.87,-2.68
7.390004,1743864635,30520,0,-6.0,-3.15,-2.77,-2.68
7.958,1744432631,30530,0,-5.76,-3.05,-2.87,-2.68
8.526004,1745000635,30540,0,-6.0,-3.15,-2.87,-2.77
9.094,1745568631,30550,0,-6.0,-3.05,-2.87,-2.77
9.662004,1746136635,30560,0,-6.0,-3.05,-2.87,-2.68
10.23,1746704631,30570,0,-6.23,-3.15,-2.87,-2.68
10.798,1747272631,30580,0,-6.0,-3.05,-2.87,-2.77
11.366,1747840631,30590,0,-6.0,-3.05,-2.87,-2.68
11.934004,1748408635,30600,0,-5.76,-3.15,-2.87,-2.68
12.502003,1748976634,30610,0,-5.76,-3.05,-2.87,-2.68
13.07,1749544631,30620,0,-5.76,-3.05,-2.87,-2.77
13.641137,1750115768,30630,0,-6.0,-3.05,-2.87,-2.59
14.209,1750683631,30640,0,-6.0,-3.05,-2.87,-2.77
14.777004,1751251635,30650,0,-6.0,-3.05,-2.87,-2.59
15.345,1751819631,30660,0,-5.76,-3.15,-2.87,-2.77
15.913002,1752387633,30670,0,-6.0,-3.15,-2.77,-2.77
16.481004,1752955635,30680,0,-5.76,-3.05,-2.77,-2.59
17.049004,1753523635,30690,0,-6.0,-3.05,-2.87,-2.68
17.617,1754091631,30700,0,-5.76,-3.05,-2.68,-2.68
18.185,1754659631,30710,0,-6.23,-3.15,-2.77,-2.68
18.753,1755227631,30720,0,-5.76,-3.05,-2.87,-2.68
19.321,1755795631,30730,0,-5.76,-3.05,-2.87,-2.68
19.892121,1756366752,30740,0,-6.0,-3.05,-2.87,-2.77
20.46,1756934631,30750,0,-6.23,-3.05,-2.87,-2.77
21.028,1757502631,30760,0,-5.76,-3.05,-2.77,-2.77
21.596,1758070631,30770,0,-6.0,-3.15,-2.77,-2.68
22.164002,1758638633,30780,0,-5.76,-3.15,-2.77,-2.68
22.732004,1759206635,30790,0,-6.0,-2.96,-2.87,-2.77
23.3,1759774631,30800,0,-6.0,-3.15,-2.87,-2.68
23.868,1760342631,30810,0,-6.0,-3.05,-2.68,-2.59
24.436,1760910631,30820,0,-6.0,-3.05,-2.87,-2.68
25.004004,1761478635,30830,0,-5.76,-3.05,-2.87,-2.68
25.572002,1762046633,30840,0,-6.0,-3.15,-2.87,-2.77
26.143109,1762617740,30850,0,-5.76,-3.05,-2.77,-2.77
26.711003,1763185634,30860,0,-6.0,-3.05,-2.77,-2.68
27.279,1763753631,30870,0,-6.0,-3.15,-2.87,-2.77
27.847,1764321631,30880,0,-6.0,-3.05,-2.87,-2.68
28.415004,1764889635,30890,0,-6.23,-3.15,-2.87,-2.68
28.983004,1765457635,30900,0,-6.0,-3.05,-2.87,-2.59
29.551,1766025631,30910,0,-6.0,-3.05,-2.87,-2.77
30.119004,1766593635,30920,0,-6.0,-3.15,-2.77,-2.68
30.687,1767161631,30930,0,-6.0,-3.15,-2.77,-2.68
31.255,1767729631,30940,0,-6.0,-3.05,-2.77,-2.68
31.823,1768297631,30950,0,-5.76,-3.05,-2.87,-2.68
32.391,1768865631,30960,0,-5.76,-3.05,-2.87,-2.59
32.970457,1769445088,30970,0,-5.76,-3.15,-2.87,-2.68
33.538005,1770012636,30980,0,-5.76,-3.15,-2.87,-2.68
34.106004,1770580635,30990,0,-6.0,-3.15,-2.77,-2.68
34.674,1771148631,31000,0,-6.0,-3.05,-2.87,-2.77
35.242,1771716631,31010,0,-6.0,-3.05,-2.87,-2.87
35.810005,1772284636,31020,0,-6.0,-3.15,-2.87,-2.68
36.378,1772852631,31030,0,-6.0,-3.05,-2.96,-2.68
